sessionId,attempt,center,selected,options
"session-1741207886028",7,"ellipse","heart",["heart","hexagon"]
"session-1741207886028",8,"octagon","rhombus",["rhombus","triangle"]
"session-1741207886028",9,"triangle","heart",["heart","ellipse"]
"session-1741207886028",10,"rectangle","parallelogram",["heart","parallelogram"]
"session-1741218741088",1,"pentagon","cross",["lightning","cross"]
"session-1741218741088",2,"lightning","circle",["circle","ellipse"]
"session-1741218741088",3,"cross","octagon",["rhombus","octagon"]
"session-1741218741088",4,"pentagon","trapezoid",["rhombus","trapezoid"]
"session-1741218741088",5,"hexagon","pentagon",["parallelogram","pentagon"]
"session-1741218741088",6,"heart","pentagon",["pentagon","lightning"]
"session-1741218741088",7,"triangle","circle",["lightning","circle"]
"session-1741218741088",8,"lightning","heart",["rhombus","heart"]
"session-1741218741088",9,"trapezoid","rectangle",["star","rectangle"]
"session-1741218741088",10,"lightning","rhombus",["rhombus","octagon"]
"session-1741218817029",1,"diamond","rectangle",["trapezoid","rectangle"]
"session-1741218817029",2,"circle","octagon",["parallelogram","octagon"]
"session-1741218817029",3,"parallelogram","cross",["star","cross"]
"session-1741218817029",4,"circle","ellipse",["star","ellipse"]
"session-1741218817029",5,"hexagon","heart",["heart","diamond"]
"session-1741218817029",6,"rhombus","heart",["ellipse","heart"]
"session-1741218817029",7,"pentagon","rectangle",["cross","rectangle"]
"session-1741218817029",8,"lightning","hexagon",["hexagon","octagon"]
"session-1741218817029",9,"pentagon","star",["star","circle"]
"session-1741218817029",10,"diamond","lightning",["star","lightning"]
"session-1741225215279",1,"lightning","rhombus",["hexagon","rhombus"]
"session-1741225215279",2,"pentagon","triangle",["cross","triangle"]
"session-1741225215279",3,"circle","rectangle",["rectangle","lightning"]
"session-1741225215279",4,"rectangle","octagon",["ellipse","octagon"]
"session-1741225215279",5,"trapezoid","parallelogram",["cross","parallelogram"]
"session-1741225215279",6,"diamond","rhombus",["rhombus","cross"]
"session-1741225215279",7,"heart","triangle",["triangle","diamond"]
"session-1741225215279",8,"lightning","parallelogram",["parallelogram","octagon"]
"session-1741225215279",9,"hexagon","trapezoid",["trapezoid","diamond"]
"session-1741225215279",10,"diamond","heart",["ellipse","heart"]
"session-1741234826092",1,"heart","octagon",["octagon","rectangle"]
"session-1741234826092",2,"cross","rectangle",["lightning","rectangle"]
"session-1741234826092",3,"rhombus","rectangle",["ellipse","rectangle"]
"session-1741234826092",4,"star","pentagon",["triangle","pentagon"]
"session-1741234826092",5,"cross","rhombus",["rhombus","lightning"]
"session-1741234826092",6,"hexagon","pentagon",["star","pentagon"]
"session-1741234826092",7,"ellipse","trapezoid",["trapezoid","lightning"]
"session-1741234826092",8,"triangle","trapezoid",["trapezoid","lightning"]
"session-1741234826092",9,"rectangle","octagon",["hexagon","octagon"]
"session-1741234826092",10,"lightning","octagon",["octagon","pentagon"]
"session-1741238661782",1,"octagon","hexagon",["parallelogram","hexagon"]
"session-1741238661782",2,"trapezoid","ellipse",["pentagon","ellipse"]
"session-1741238661782",3,"circle","parallelogram",["parallelogram","heart"]
"session-1741238661782",4,"rectangle","circle",["hexagon","circle"]
"session-1741238661782",5,"parallelogram","ellipse",["octagon","ellipse"]
"session-1741238661782",6,"diamond","rectangle",["rectangle","star"]
"session-1741238661782",7,"circle","parallelogram",["trapezoid","parallelogram"]
"session-1741238661782",8,"cross","star",["star","rhombus"]
"session-1741238661782",9,"circle","diamond",["star","diamond"]
"session-1741238661782",10,"octagon","rectangle",["rectangle","cross"]
